Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Girl in Room 105",by Chetan Bhagat,4.1,1542,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹125,
"The Girl on the Train",by Paula Hawkins,3.8,922,https://www.amazon.in/Girl-Train-Paula-Hawkins/dp/0552779776,0552779776,₹230,
"The Complete Novels of Sherlock Holmes",by Arthur Conan Doyle,4.3,839,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312,8175994312,₹146,
"The Woman in the Window",by A. J. Finn,3.9,114,https://www.amazon.in/Woman-Window-J-Finn/dp/0008294372,0008294372,₹299,
"And Then There Were None",by Agatha Christie,4.6,1342,https://www.amazon.in/Then-There-Were-None/dp/0008123209,0008123209,₹275.11,
"CASE No.56",by Chandrashekar Nagawaram,4.7,29,https://www.amazon.in/CASE-No-56-Chandrashekar-Nagawaram/dp/B07KP653V2,B07KP653V2,₹127,
"The Perfect Murder",by Ruskin Bond,3.8,56,https://www.amazon.in/Perfect-Murder-Ruskin-Bond/dp/8129144972,8129144972,₹195,
"I Am Watching You",by Teresa Driscoll,4,46,https://www.amazon.in/Am-Watching-You-Teresa-Driscoll/dp/1542046599,1542046599,₹269,
"Origin: Number 5 of the Robert Langdon Series",by Dan Brown,4,1184,https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756,0593078756,₹486,
"Murder in a Minute",by Shouvik Bhattacharya,4.4,277,https://www.amazon.in/Murder-Minute-Shouvik-Bhattacharya/dp/9386643723,9386643723,₹188,
"Murder on the Orient Express (Film Tie-in Edition) (Poirot)",by Agatha Christie,4.5,587,https://www.amazon.in/Murder-Orient-Express-Film-Poirot/dp/0008226679,0008226679,₹224,
"The World's Favourite: And Then There Were None, Murder on the Orient Express...",by Agatha Christie,4.6,92,https://www.amazon.in/Worlds-Favourite-Murder-Express-Ackroyd/dp/0008158614,0008158614,₹634,
"Stalker (Joona Linna)",by Lars Kepler,4.4,38,https://www.amazon.in/Stalker-Joona-Linna-Lars-Kepler/dp/0007467850,0007467850,₹214,
"The Coin",by Sandeep Sharma,4,155,https://www.amazon.in/Coin-Sandeep-Sharma/dp/9387390268,9387390268,₹66,
"The Girl Who Knew Too Much: What if the Loved One You Lost Were to Come Back?",by Vikrant Khanna,4.1,245,https://www.amazon.in/Girl-Who-Knew-Too-Much/dp/0143439944,0143439944,₹158,
"The Mystery of Three Quarters: The New Hercule Poirot Mystery",by Sophie Hannah,3.9,30,https://www.amazon.in/Mystery-Three-Quarters-Hercule-Poirot/dp/0008321299,0008321299,₹231,
"Forever is a Lie",by Novoneel Chakraborty,4.5,191,https://www.amazon.in/Forever-Lie-Novoneel-Chakraborty/dp/0143427490,0143427490,₹114,
"GS Mini Mystery #6: The Cheese Burglar",by Geronimo Stilton,4.4,27,https://www.amazon.in/GS-Mini-Mystery-Cheese-Burglar/dp/9386313693,9386313693,₹90,
"Thea Stilton and The Mystery in Paris: 05 (Geronimo Stilton)",by Geronimo Stilton,4.7,112,https://www.amazon.in/Thea-Stilton-Mystery-Paris-Geronimo/dp/0545227739,0545227739,₹236,
"3 and a Half Murders: An Inspector Saralkar Mystery",by Salil Desai,4.4,69,https://www.amazon.in/Half-Murders-Inspector-Saralkar-Mystery/dp/8175994258,8175994258,₹189,
"Calling Sehmat",by Harinder Sikka,4.5,307,https://www.amazon.in/Calling-Sehmat-Harinder-Sikka/dp/0143442309,0143442309,₹164,
"GS Mini Mystery #5: The Double Cross",by Geronimo Stilton,4.6,14,https://www.amazon.in/GS-Mini-Mystery-Double-Cross/dp/9386313685,9386313685,₹113,
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5011,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,
"The Mahabharata Secret",by Christopher C. Doyle,3.8,700,https://www.amazon.in/Mahabharata-Secret-Christopher-C-Doyle/dp/9383202319,9383202319,₹257,
